Movie,Year,value,Release Date,Production Budget,Domestic Gross,Worldwide Gross
Identity Thief,2013,Jason Bateman,"Feb 7, 2013",35000000,134506920,175361578.0
Identity Thief,2013,Melissa McCarthy,"Feb 7, 2013",35000000,134506920,175361578.0
Identity Thief,2013,John Cho,"Feb 7, 2013",35000000,134506920,175361578.0
Identity Thief,2013,Amanda Peet,"Feb 7, 2013",35000000,134506920,175361578.0
Superman,1978,Christopher Reeve,"Dec 15, 1978",55000000,134218018,300200000.0
Superman,1978,Margot Kidder,"Dec 15, 1978",55000000,134218018,300200000.0
Superman,1978,Gene Hackman,"Dec 15, 1978",55000000,134218018,300200000.0
Superman,1978,Marlon Brando,"Dec 15, 1978",55000000,134218018,300200000.0
The Rock,1996,Sean Connery,"Jun 7, 1996",75000000,134069511,336069511.0
The Rock,1996,Nicolas Cage,"Jun 7, 1996",75000000,134069511,336069511.0
The Rock,1996,Ed Harris,"Jun 7, 1996",75000000,134069511,336069511.0
The Rock,1996,John Spencer,"Jun 7, 1996",75000000,134069511,336069511.0
Mission: Impossible III,2006,Tom Cruise,"May 5, 2006",150000000,133501348,399387745.0
Mission: Impossible III,2006,Michelle Monaghan,"May 5, 2006",150000000,133501348,399387745.0
Mission: Impossible III,2006,Ving Rhames,"May 5, 2006",150000000,133501348,399387745.0
Mission: Impossible III,2006,Philip Seymour Hoffman,"May 5, 2006",150000000,133501348,399387745.0
Grown Ups 2,2013,Adam Sandler,"Jul 12, 2013",80000000,133668525,247023808.0
Grown Ups 2,2013,Kevin James,"Jul 12, 2013",80000000,133668525,247023808.0
Grown Ups 2,2013,Chris Rock,"Jul 12, 2013",80000000,133668525,247023808.0
Grown Ups 2,2013,David Spade,"Jul 12, 2013",80000000,133668525,247023808.0
Troy,2004,Brad Pitt,"May 13, 2004",150000000,133298577,483152040.0
Troy,2004,Eric Bana,"May 13, 2004",150000000,133298577,483152040.0
Troy,2004,Orlando Bloom,"May 13, 2004",150000000,133298577,483152040.0
Troy,2004,Julian Glover,"May 13, 2004",150000000,133298577,483152040.0
Angels & Demons,2009,Tom Hanks,"May 15, 2009",150000000,133375846,490875846.0
Angels & Demons,2009,Ewan McGregor,"May 15, 2009",150000000,133375846,490875846.0
Angels & Demons,2009,Ayelet Zurer,"May 15, 2009",150000000,133375846,490875846.0
Angels & Demons,2009,Stellan Skarsgård,"May 15, 2009",150000000,133375846,490875846.0
Alvin and the Chipmunks: Chipwrecked,2011,Justin Long,"Dec 14, 2011",80000000,133107389,349088523.0
Alvin and the Chipmunks: Chipwrecked,2011,Matthew Gray Gubler,"Dec 14, 2011",80000000,133107389,349088523.0
Alvin and the Chipmunks: Chipwrecked,2011,Jesse McCartney,"Dec 14, 2011",80000000,133107389,349088523.0
Alvin and the Chipmunks: Chipwrecked,2011,Jason Lee,"Dec 14, 2011",80000000,133107389,349088523.0
Bringing Down the House,2003,Steve Martin,"Mar 7, 2003",20000000,132675402,164675402.0
Bringing Down the House,2003,Queen Latifah,"Mar 7, 2003",20000000,132675402,164675402.0
Bringing Down the House,2003,Eugene Levy,"Mar 7, 2003",20000000,132675402,164675402.0
Bringing Down the House,2003,Joan Plowright,"Mar 7, 2003",20000000,132675402,164675402.0
The Wolverine,2013,Hugh Jackman,"Jul 26, 2013",115000000,132556852,416456852.0
The Wolverine,2013,Will Yun Lee,"Jul 26, 2013",115000000,132556852,416456852.0
The Wolverine,2013,Tao Okamoto,"Jul 26, 2013",115000000,132556852,416456852.0
The Wolverine,2013,Rila Fukushima,"Jul 26, 2013",115000000,132556852,416456852.0
Wonder,2017,Jacob Tremblay,"Oct 17, 2017",20000000,132422809,311283402.0
Wonder,2017,Owen Wilson,"Oct 17, 2017",20000000,132422809,311283402.0
Wonder,2017,Izabela Vidovic,"Oct 17, 2017",20000000,132422809,311283402.0
Wonder,2017,Julia Roberts,"Oct 17, 2017",20000000,132422809,311283402.0
The Departed,2006,Leonardo DiCaprio,"Oct 6, 2006",90000000,132384315,289660619.0
The Departed,2006,Matt Damon,"Oct 6, 2006",90000000,132384315,289660619.0
The Departed,2006,Jack Nicholson,"Oct 6, 2006",90000000,132384315,289660619.0
The Departed,2006,Mark Wahlberg,"Oct 6, 2006",90000000,132384315,289660619.0
Hulk,2003,Eric Bana,"Jun 20, 2003",137000000,132177234,245031679.0
Hulk,2003,Jennifer Connelly,"Jun 20, 2003",137000000,132177234,245031679.0
Hulk,2003,Sam Elliott,"Jun 20, 2003",137000000,132177234,245031679.0
Hulk,2003,Josh Lucas,"Jun 20, 2003",137000000,132177234,245031679.0
Silver Linings Playbook,2012,Bradley Cooper,"Nov 16, 2012",21000000,132092958,236412453.0
Silver Linings Playbook,2012,Jennifer Lawrence,"Nov 16, 2012",21000000,132092958,236412453.0
Silver Linings Playbook,2012,Robert De Niro,"Nov 16, 2012",21000000,132092958,236412453.0
Silver Linings Playbook,2012,Jacki Weaver,"Nov 16, 2012",21000000,132092958,236412453.0
Close Encounters of the Third Kind,1977,Richard Dreyfuss,"Nov 16, 1977",20000000,169100479,340800479.0
Close Encounters of the Third Kind,1977,François Truffaut,"Nov 16, 1977",20000000,169100479,340800479.0
Close Encounters of the Third Kind,1977,Teri Garr,"Nov 16, 1977",20000000,169100479,340800479.0
Close Encounters of the Third Kind,1977,Melinda Dillon,"Nov 16, 1977",20000000,169100479,340800479.0
Minority Report,2002,Tom Cruise,"Jun 21, 2002",102000000,132024714,358824714.0
Minority Report,2002,Colin Farrell,"Jun 21, 2002",102000000,132024714,358824714.0
Minority Report,2002,Samantha Morton,"Jun 21, 2002",102000000,132024714,358824714.0
Minority Report,2002,Max von Sydow,"Jun 21, 2002",102000000,132024714,358824714.0
The Last Airbender,2010,Noah Ringer,"Jul 1, 2010",150000000,131772187,319713881.0
The Last Airbender,2010,Nicola Peltz Beckham,"Jul 1, 2010",150000000,131772187,319713881.0
The Last Airbender,2010,Jackson Rathbone,"Jul 1, 2010",150000000,131772187,319713881.0
The Last Airbender,2010,Dev Patel,"Jul 1, 2010",150000000,131772187,319713881.0
Rio 2,2014,Jesse Eisenberg,"Mar 20, 2014",130000000,131538435,492846291.0
Rio 2,2014,Anne Hathaway,"Mar 20, 2014",130000000,131538435,492846291.0
Rio 2,2014,Jemaine Clement,"Mar 20, 2014",130000000,131538435,492846291.0
Rio 2,2014,Andy Garcia,"Mar 20, 2014",130000000,131538435,492846291.0
Lara Croft: Tomb Raider,2001,Angelina Jolie,"Jun 15, 2001",94000000,131144183,273330185.0
Lara Croft: Tomb Raider,2001,Jon Voight,"Jun 15, 2001",94000000,131144183,273330185.0
Lara Croft: Tomb Raider,2001,Iain Glen,"Jun 15, 2001",94000000,131144183,273330185.0
Lara Croft: Tomb Raider,2001,Noah Taylor,"Jun 15, 2001",94000000,131144183,273330185.0
The Silence of the Lambs,1991,Jodie Foster,"Feb 14, 1991",20000000,130726716,275726716.0
The Silence of the Lambs,1991,Anthony Hopkins,"Feb 14, 1991",20000000,130726716,275726716.0
The Silence of the Lambs,1991,Lawrence A. Bonney,"Feb 14, 1991",20000000,130726716,275726716.0
The Silence of the Lambs,1991,Kasi Lemmons,"Feb 14, 1991",20000000,130726716,275726716.0
The Flintstones,1994,John Goodman,"May 27, 1994",45000000,130531208,358500000.0
The Flintstones,1994,Rick Moranis,"May 27, 1994",45000000,130531208,358500000.0
The Flintstones,1994,Rosie O'Donnell,"May 27, 1994",45000000,130531208,358500000.0
The Flintstones,1994,Halle Berry,"May 27, 1994",45000000,130531208,358500000.0
Lethal Weapon 4,1998,Mel Gibson,"Jul 10, 1998",140000000,130444603,285400000.0
Lethal Weapon 4,1998,Danny Glover,"Jul 10, 1998",140000000,130444603,285400000.0
Lethal Weapon 4,1998,Joe Pesci,"Jul 10, 1998",140000000,130444603,285400000.0
Lethal Weapon 4,1998,Rene Russo,"Jul 10, 1998",140000000,130444603,285400000.0
Get Smart,2008,Steve Carell,"Jun 20, 2008",80000000,130319208,226739416.0
Get Smart,2008,Anne Hathaway,"Jun 20, 2008",80000000,130319208,226739416.0
Get Smart,2008,Alan Arkin,"Jun 20, 2008",80000000,130319208,226739416.0
Get Smart,2008,Dwayne Johnson,"Jun 20, 2008",80000000,130319208,226739416.0
The Peanuts Movie,2015,Noah Schnapp,"Nov 5, 2015",99000000,130178411,250091610.0
The Peanuts Movie,2015,Bill Melendez,"Nov 5, 2015",99000000,130178411,250091610.0
The Peanuts Movie,2015,Hadley Belle Miller,"Nov 5, 2015",99000000,130178411,250091610.0
The Peanuts Movie,2015,Francesca Capaldi,"Nov 5, 2015",99000000,130178411,250091610.0
Transformers: The Last Knight,2017,Mark Wahlberg,"Jun 20, 2017",217000000,130168683,602893340.0
Transformers: The Last Knight,2017,Anthony Hopkins,"Jun 20, 2017",217000000,130168683,602893340.0
Transformers: The Last Knight,2017,Josh Duhamel,"Jun 20, 2017",217000000,130168683,602893340.0
Transformers: The Last Knight,2017,Laura Haddock,"Jun 20, 2017",217000000,130168683,602893340.0
American Gangster,2007,Denzel Washington,"Nov 2, 2007",100000000,130164645,267985456.0
American Gangster,2007,Russell Crowe,"Nov 2, 2007",100000000,130164645,267985456.0
American Gangster,2007,Chiwetel Ejiofor,"Nov 2, 2007",100000000,130164645,267985456.0
American Gangster,2007,Josh Brolin,"Nov 2, 2007",100000000,130164645,267985456.0
American Beauty,1999,Kevin Spacey,"Sep 15, 1999",15000000,130058047,356258047.0
American Beauty,1999,Annette Bening,"Sep 15, 1999",15000000,130058047,356258047.0
American Beauty,1999,Thora Birch,"Sep 15, 1999",15000000,130058047,356258047.0
American Beauty,1999,Wes Bentley,"Sep 15, 1999",15000000,130058047,356258047.0
An Officer and a Gentleman,1982,Richard Gere,"Jul 28, 1982",6000000,129795554,129795554.0
An Officer and a Gentleman,1982,Debra Winger,"Jul 28, 1982",6000000,129795554,129795554.0
An Officer and a Gentleman,1982,David Keith,"Jul 28, 1982",6000000,129795554,129795554.0
An Officer and a Gentleman,1982,Robert Loggia,"Jul 28, 1982",6000000,129795554,129795554.0
Ghostbusters: Afterlife,2021,Carrie Coon,"Nov 18, 2021",75000000,129360575,204320875.0
Ghostbusters: Afterlife,2021,Paul Rudd,"Nov 18, 2021",75000000,129360575,204320875.0
Ghostbusters: Afterlife,2021,Finn Wolfhard,"Nov 18, 2021",75000000,129360575,204320875.0
Ghostbusters: Afterlife,2021,Mckenna Grace,"Nov 18, 2021",75000000,129360575,204320875.0
The Ring,2002,Naomi Watts,"Oct 18, 2002",48000000,129094024,248218486.0
The Ring,2002,Martin Henderson,"Oct 18, 2002",48000000,129094024,248218486.0
The Ring,2002,Brian Cox,"Oct 18, 2002",48000000,129094024,248218486.0
The Ring,2002,David Dorfman,"Oct 18, 2002",48000000,129094024,248218486.0
The Nutty Professor,1996,Eddie Murphy,"Jun 28, 1996",55000000,128814019,273814019.0
The Nutty Professor,1996,Jada Pinkett Smith,"Jun 28, 1996",55000000,128814019,273814019.0
The Nutty Professor,1996,James Coburn,"Jun 28, 1996",55000000,128814019,273814019.0
The Nutty Professor,1996,Larry Miller,"Jun 28, 1996",55000000,128814019,273814019.0
Ghostbusters,2016,Melissa McCarthy,"Jul 13, 2016",144000000,128350574,229008658.0
Ghostbusters,2016,Kristen Wiig,"Jul 13, 2016",144000000,128350574,229008658.0
Ghostbusters,2016,Kate McKinnon,"Jul 13, 2016",144000000,128350574,229008658.0
Ghostbusters,2016,Leslie Jones,"Jul 13, 2016",144000000,128350574,229008658.0
Robots,2005,Ewan McGregor,"Mar 11, 2005",80000000,128200012,260636271.0
Robots,2005,Halle Berry,"Mar 11, 2005",80000000,128200012,260636271.0
Robots,2005,Mel Brooks,"Mar 11, 2005",80000000,128200012,260636271.0
Robots,2005,Robin Williams,"Mar 11, 2005",80000000,128200012,260636271.0
Shutter Island,2010,Leonardo DiCaprio,"Feb 19, 2010",80000000,128012934,299461782.0
Shutter Island,2010,Emily Mortimer,"Feb 19, 2010",80000000,128012934,299461782.0
Shutter Island,2010,Mark Ruffalo,"Feb 19, 2010",80000000,128012934,299461782.0
Shutter Island,2010,Ben Kingsley,"Feb 19, 2010",80000000,128012934,299461782.0
Into the Woods,2014,Anna Kendrick,"Dec 25, 2014",56200000,128002372,212416317.0
Into the Woods,2014,Meryl Streep,"Dec 25, 2014",56200000,128002372,212416317.0
Into the Woods,2014,Chris Pine,"Dec 25, 2014",56200000,128002372,212416317.0
Into the Woods,2014,Emily Blunt,"Dec 25, 2014",56200000,128002372,212416317.0
Enchanted,2007,Amy Adams,"Nov 21, 2007",85000000,127706877,340384141.0
Enchanted,2007,Susan Sarandon,"Nov 21, 2007",85000000,127706877,340384141.0
Enchanted,2007,James Marsden,"Nov 21, 2007",85000000,127706877,340384141.0
Enchanted,2007,Patrick Dempsey,"Nov 21, 2007",85000000,127706877,340384141.0
The Curious Case of Benjamin Button,2008,Brad Pitt,"Dec 25, 2008",160000000,127509326,329631958.0
The Curious Case of Benjamin Button,2008,Cate Blanchett,"Dec 25, 2008",160000000,127509326,329631958.0
The Curious Case of Benjamin Button,2008,Tilda Swinton,"Dec 25, 2008",160000000,127509326,329631958.0
The Curious Case of Benjamin Button,2008,Julia Ormond,"Dec 25, 2008",160000000,127509326,329631958.0
Central Intelligence,2016,Dwayne Johnson,"Jun 16, 2016",50000000,127440871,217194805.0
Central Intelligence,2016,Kevin Hart,"Jun 16, 2016",50000000,127440871,217194805.0
Central Intelligence,2016,Danielle Nicolet,"Jun 16, 2016",50000000,127440871,217194805.0
Central Intelligence,2016,Amy Ryan,"Jun 16, 2016",50000000,127440871,217194805.0
Anchorman 2: The Legend Continues,2013,Will Ferrell,"Dec 18, 2013",50000000,127413176,172246223.0
Anchorman 2: The Legend Continues,2013,Christina Applegate,"Dec 18, 2013",50000000,127413176,172246223.0
Anchorman 2: The Legend Continues,2013,Paul Rudd,"Dec 18, 2013",50000000,127413176,172246223.0
Anchorman 2: The Legend Continues,2013,Steve Carell,"Dec 18, 2013",50000000,127413176,172246223.0
Sweet Home Alabama,2002,Reese Witherspoon,"Sep 27, 2002",38000000,127214072,182365114.0
Sweet Home Alabama,2002,Patrick Dempsey,"Sep 27, 2002",38000000,127214072,182365114.0
Sweet Home Alabama,2002,Josh Lucas,"Sep 27, 2002",38000000,127214072,182365114.0
Sweet Home Alabama,2002,Candice Bergen,"Sep 27, 2002",38000000,127214072,182365114.0
Bumblebee,2018,Hailee Steinfeld,"Dec 13, 2018",102000000,127195589,465195589.0
Bumblebee,2018,Jorge Lendeborg Jr.,"Dec 13, 2018",102000000,127195589,465195589.0
Bumblebee,2018,John Cena,"Dec 13, 2018",102000000,127195589,465195589.0
Bumblebee,2018,Jason Drucker,"Dec 13, 2018",102000000,127195589,465195589.0
2 Fast 2 Furious,2003,Paul Walker,"Jun 6, 2003",76000000,127120058,236410607.0
2 Fast 2 Furious,2003,Tyrese Gibson,"Jun 6, 2003",76000000,127120058,236410607.0
2 Fast 2 Furious,2003,Cole Hauser,"Jun 6, 2003",76000000,127120058,236410607.0
2 Fast 2 Furious,2003,Eva Mendes,"Jun 6, 2003",76000000,127120058,236410607.0
My Best Friend's Wedding,1997,Julia Roberts,"Jun 20, 1997",46000000,126813153,298923419.0
My Best Friend's Wedding,1997,Dermot Mulroney,"Jun 20, 1997",46000000,126813153,298923419.0
My Best Friend's Wedding,1997,Cameron Diaz,"Jun 20, 1997",46000000,126813153,298923419.0
My Best Friend's Wedding,1997,Rupert Everett,"Jun 20, 1997",46000000,126813153,298923419.0
Super 8,2011,Elle Fanning,"Jun 10, 2011",50000000,127004179,257972745.0
Super 8,2011,AJ Michalka,"Jun 10, 2011",50000000,127004179,257972745.0
Super 8,2011,Kyle Chandler,"Jun 10, 2011",50000000,127004179,257972745.0
Super 8,2011,Joel Courtney,"Jun 10, 2011",50000000,127004179,257972745.0
Lucy,2014,Scarlett Johansson,"Jul 25, 2014",40000000,126573960,457507776.0
Lucy,2014,Morgan Freeman,"Jul 25, 2014",40000000,126573960,457507776.0
Lucy,2014,Choi Min-sik,"Jul 25, 2014",40000000,126573960,457507776.0
Lucy,2014,Amr Waked,"Jul 25, 2014",40000000,126573960,457507776.0
The Legend of Tarzan,2016,Alexander Skarsgård,"Jun 27, 2016",180000000,126643061,348902025.0
The Legend of Tarzan,2016,Rory J. Saper,"Jun 27, 2016",180000000,126643061,348902025.0
The Legend of Tarzan,2016,Christian Stevens,"Jun 27, 2016",180000000,126643061,348902025.0
The Legend of Tarzan,2016,Christoph Waltz,"Jun 27, 2016",180000000,126643061,348902025.0
Bee Movie,2007,Jerry Seinfeld,"Nov 2, 2007",150000000,126631277,287594577.0
Bee Movie,2007,Renée Zellweger,"Nov 2, 2007",150000000,126631277,287594577.0
Bee Movie,2007,Matthew Broderick,"Nov 2, 2007",150000000,126631277,287594577.0
Bee Movie,2007,Patrick Warburton,"Nov 2, 2007",150000000,126631277,287594577.0
Prometheus,2012,Noomi Rapace,"May 30, 2012",125000000,126477084,402448265.0
Prometheus,2012,Logan Marshall-Green,"May 30, 2012",125000000,126477084,402448265.0
Prometheus,2012,Michael Fassbender,"May 30, 2012",125000000,126477084,402448265.0
Prometheus,2012,Charlize Theron,"May 30, 2012",125000000,126477084,402448265.0
Safe House,2012,Denzel Washington,"Feb 8, 2012",85000000,126181630,207884401.0
Safe House,2012,Ryan Reynolds,"Feb 8, 2012",85000000,126181630,207884401.0
Safe House,2012,Robert Patrick,"Feb 8, 2012",85000000,126181630,207884401.0
Safe House,2012,Vera Farmiga,"Feb 8, 2012",85000000,126181630,207884401.0
Mr. Deeds,2002,Adam Sandler,"Jun 28, 2002",50000000,126293452,171269535.0
Mr. Deeds,2002,Winona Ryder,"Jun 28, 2002",50000000,126293452,171269535.0
Mr. Deeds,2002,John Turturro,"Jun 28, 2002",50000000,126293452,171269535.0
Mr. Deeds,2002,Allen Covert,"Jun 28, 2002",50000000,126293452,171269535.0
The Truman Show,1998,Jim Carrey,"Jun 5, 1998",60000000,125618201,264118201.0
The Truman Show,1998,Ed Harris,"Jun 5, 1998",60000000,125618201,264118201.0
The Truman Show,1998,Laura Linney,"Jun 5, 1998",60000000,125618201,264118201.0
The Truman Show,1998,Noah Emmerich,"Jun 5, 1998",60000000,125618201,264118201.0
Erin Brockovich,2000,Julia Roberts,"Mar 17, 2000",50000000,125548685,257805243.0
Erin Brockovich,2000,Albert Finney,"Mar 17, 2000",50000000,125548685,257805243.0
Erin Brockovich,2000,David Brisbin,"Mar 17, 2000",50000000,125548685,257805243.0
Erin Brockovich,2000,Dawn Didawick,"Mar 17, 2000",50000000,125548685,257805243.0
Ocean's Twelve,2004,George Clooney,"Dec 10, 2004",110000000,125531634,362989076.0
Ocean's Twelve,2004,Brad Pitt,"Dec 10, 2004",110000000,125531634,362989076.0
Ocean's Twelve,2004,Julia Roberts,"Dec 10, 2004",110000000,125531634,362989076.0
Ocean's Twelve,2004,Catherine Zeta-Jones,"Dec 10, 2004",110000000,125531634,362989076.0
Tomorrow Never Dies,1997,Pierce Brosnan,"Dec 19, 1997",110000000,125304276,339504276.0
Tomorrow Never Dies,1997,Jonathan Pryce,"Dec 19, 1997",110000000,125304276,339504276.0
Tomorrow Never Dies,1997,Michelle Yeoh,"Dec 19, 1997",110000000,125304276,339504276.0
Tomorrow Never Dies,1997,Teri Hatcher,"Dec 19, 1997",110000000,125304276,339504276.0
Terminator Salvation,2009,Christian Bale,"May 21, 2009",200000000,125322469,365491792.0
Terminator Salvation,2009,Sam Worthington,"May 21, 2009",200000000,125322469,365491792.0
Terminator Salvation,2009,Anton Yelchin,"May 21, 2009",200000000,125322469,365491792.0
Terminator Salvation,2009,Moon Bloodgood,"May 21, 2009",200000000,125322469,365491792.0
Charlie's Angels,2000,Cameron Diaz,"Nov 3, 2000",90000000,125305545,259736090.0
Charlie's Angels,2000,Drew Barrymore,"Nov 3, 2000",90000000,125305545,259736090.0
Charlie's Angels,2000,Lucy Liu,"Nov 3, 2000",90000000,125305545,259736090.0
Charlie's Angels,2000,Bill Murray,"Nov 3, 2000",90000000,125305545,259736090.0
Lone Survivor,2013,Mark Wahlberg,"Dec 25, 2013",40000000,125095601,149804632.0
Lone Survivor,2013,Taylor Kitsch,"Dec 25, 2013",40000000,125095601,149804632.0
Lone Survivor,2013,Emile Hirsch,"Dec 25, 2013",40000000,125095601,149804632.0
Lone Survivor,2013,Ben Foster,"Dec 25, 2013",40000000,125095601,149804632.0
Sully,2016,Tom Hanks,"Sep 8, 2016",60000000,125070033,238524556.0
Sully,2016,Aaron Eckhart,"Sep 8, 2016",60000000,125070033,238524556.0
Sully,2016,Laura Linney,"Sep 8, 2016",60000000,125070033,238524556.0
Sully,2016,Valerie Mahaffey,"Sep 8, 2016",60000000,125070033,238524556.0
The Vow,2012,Rachel McAdams,"Feb 9, 2012",30000000,125014030,197618160.0
The Vow,2012,Channing Tatum,"Feb 9, 2012",30000000,125014030,197618160.0
The Vow,2012,Sam Neill,"Feb 9, 2012",30000000,125014030,197618160.0
The Vow,2012,Jessica Lange,"Feb 9, 2012",30000000,125014030,197618160.0
Life of Pi,2012,Suraj Sharma,"Nov 21, 2012",120000000,124987022,619310368.0
Life of Pi,2012,Irrfan Khan,"Nov 21, 2012",120000000,124987022,619310368.0
Life of Pi,2012,Adil Hussain,"Nov 21, 2012",120000000,124987022,619310368.0
Life of Pi,2012,Tabu,"Nov 21, 2012",120000000,124987022,619310368.0
The Fault in Our Stars,2014,Shailene Woodley,"Jun 4, 2014",12000000,124872350,307166834.0
The Fault in Our Stars,2014,Ansel Elgort,"Jun 4, 2014",12000000,124872350,307166834.0
The Fault in Our Stars,2014,Nat Wolff,"Jun 4, 2014",12000000,124872350,307166834.0
The Fault in Our Stars,2014,Laura Dern,"Jun 4, 2014",12000000,124872350,307166834.0
Cloudy with a Chance of Meatballs,2009,Anna Faris,"Sep 18, 2009",100000000,124870275,236827677.0
Cloudy with a Chance of Meatballs,2009,Bill Hader,"Sep 18, 2009",100000000,124870275,236827677.0
Cloudy with a Chance of Meatballs,2009,Bruce Campbell,"Sep 18, 2009",100000000,124870275,236827677.0
Cloudy with a Chance of Meatballs,2009,James Caan,"Sep 18, 2009",100000000,124870275,236827677.0
The Devil Wears Prada,2006,Anne Hathaway,"Jun 30, 2006",35000000,124740460,326073155.0
The Devil Wears Prada,2006,Meryl Streep,"Jun 30, 2006",35000000,124740460,326073155.0
The Devil Wears Prada,2006,Adrian Grenier,"Jun 30, 2006",35000000,124740460,326073155.0
The Devil Wears Prada,2006,Emily Blunt,"Jun 30, 2006",35000000,124740460,326073155.0
Something's Gotta Give,2003,Jack Nicholson,"Dec 12, 2003",80000000,124685242,266685242.0
Something's Gotta Give,2003,Diane Keaton,"Dec 12, 2003",80000000,124685242,266685242.0
Something's Gotta Give,2003,Keanu Reeves,"Dec 12, 2003",80000000,124685242,266685242.0
Something's Gotta Give,2003,Amanda Peet,"Dec 12, 2003",80000000,124685242,266685242.0
Traffic,2000,Michael Douglas,"Dec 27, 2000",48000000,124107476,208300000.0
Traffic,2000,Benicio Del Toro,"Dec 27, 2000",48000000,124107476,208300000.0
Traffic,2000,Catherine Zeta-Jones,"Dec 27, 2000",48000000,124107476,208300000.0
Traffic,2000,Jacob Vargas,"Dec 27, 2000",48000000,124107476,208300000.0
Rango,2011,Johnny Depp,"Mar 4, 2011",135000000,123477607,245724600.0
Rango,2011,Isla Fisher,"Mar 4, 2011",135000000,123477607,245724600.0
Rango,2011,Timothy Olyphant,"Mar 4, 2011",135000000,123477607,245724600.0
Rango,2011,Abigail Breslin,"Mar 4, 2011",135000000,123477607,245724600.0
Nutty Professor II: The Klumps,2000,Eddie Murphy,"Jul 28, 2000",84000000,123307945,166307945.0
Nutty Professor II: The Klumps,2000,Janet Jackson,"Jul 28, 2000",84000000,123307945,166307945.0
Nutty Professor II: The Klumps,2000,Larry Miller,"Jul 28, 2000",84000000,123307945,166307945.0
Nutty Professor II: The Klumps,2000,John Ales,"Jul 28, 2000",84000000,123307945,166307945.0
The Good Dinosaur,2015,Jeffrey Wright,"Nov 25, 2015",187500000,123087120,333771037.0
The Good Dinosaur,2015,Frances McDormand,"Nov 25, 2015",187500000,123087120,333771037.0
The Good Dinosaur,2015,Maleah Nipay-Padilla,"Nov 25, 2015",187500000,123087120,333771037.0
The Good Dinosaur,2015,Ryan Teeple,"Nov 25, 2015",187500000,123087120,333771037.0
G.I. Joe: Retaliation,2013,Dwayne Johnson,"Mar 27, 2013",140000000,122523060,375740705.0
G.I. Joe: Retaliation,2013,Channing Tatum,"Mar 27, 2013",140000000,122523060,375740705.0
G.I. Joe: Retaliation,2013,Adrianne Palicki,"Mar 27, 2013",140000000,122523060,375740705.0
G.I. Joe: Retaliation,2013,Lee Byung-hun,"Mar 27, 2013",140000000,122523060,375740705.0
Clear and Present Danger,1994,Harrison Ford,"Aug 3, 1994",62000000,122012656,207500000.0
Clear and Present Danger,1994,Willem Dafoe,"Aug 3, 1994",62000000,122012656,207500000.0
Clear and Present Danger,1994,Anne Archer,"Aug 3, 1994",62000000,122012656,207500000.0
Clear and Present Danger,1994,Joaquim de Almeida,"Aug 3, 1994",62000000,122012656,207500000.0
The Hunt for Red October,1990,Sean Connery,"Mar 2, 1990",30000000,120709866,200500000.0
The Hunt for Red October,1990,Alec Baldwin,"Mar 2, 1990",30000000,120709866,200500000.0
The Hunt for Red October,1990,Scott Glenn,"Mar 2, 1990",30000000,120709866,200500000.0
The Hunt for Red October,1990,Sam Neill,"Mar 2, 1990",30000000,120709866,200500000.0
The Bodyguard,1992,Kevin Costner,"Nov 25, 1992",25000000,122006740,411006740.0
The Bodyguard,1992,Whitney Houston,"Nov 25, 1992",25000000,122006740,411006740.0
The Bodyguard,1992,Gary Kemp,"Nov 25, 1992",25000000,122006740,411006740.0
The Bodyguard,1992,Bill Cobbs,"Nov 25, 1992",25000000,122006740,411006740.0
Wayne's World,1992,Mike Myers,"Feb 14, 1992",20000000,121697323,183097323.0
Wayne's World,1992,Dana Carvey,"Feb 14, 1992",20000000,121697323,183097323.0
Wayne's World,1992,Rob Lowe,"Feb 14, 1992",20000000,121697323,183097323.0
Wayne's World,1992,Tia Carrere,"Feb 14, 1992",20000000,121697323,183097323.0
The Bourne Identity,2002,Franka Potente,"Jun 14, 2002",60000000,121468960,214357371.0
The Bourne Identity,2002,Matt Damon,"Jun 14, 2002",60000000,121468960,214357371.0
The Bourne Identity,2002,Chris Cooper,"Jun 14, 2002",60000000,121468960,214357371.0
The Bourne Identity,2002,Clive Owen,"Jun 14, 2002",60000000,121468960,214357371.0
Superbad,2007,Michael Cera,"Aug 17, 2007",17500000,121463226,169955142.0
Superbad,2007,Jonah Hill,"Aug 17, 2007",17500000,121463226,169955142.0
Superbad,2007,Christopher Mintz-Plasse,"Aug 17, 2007",17500000,121463226,169955142.0
Superbad,2007,Bill Hader,"Aug 17, 2007",17500000,121463226,169955142.0
Speed,1994,Keanu Reeves,"Jun 10, 1994",30000000,121248145,283200000.0
Speed,1994,Dennis Hopper,"Jun 10, 1994",30000000,121248145,283200000.0
Speed,1994,Sandra Bullock,"Jun 10, 1994",30000000,121248145,283200000.0
Speed,1994,Joe Morton,"Jun 10, 1994",30000000,121248145,283200000.0
50 First Dates,2004,Adam Sandler,"Feb 13, 2004",75000000,120776832,196320329.0
50 First Dates,2004,Drew Barrymore,"Feb 13, 2004",75000000,120776832,196320329.0
50 First Dates,2004,Rob Schneider,"Feb 13, 2004",75000000,120776832,196320329.0
50 First Dates,2004,Sean Astin,"Feb 13, 2004",75000000,120776832,196320329.0
Mulan,1998,Ming-Na Wen,"Jun 19, 1998",90000000,120620254,303500000.0
Mulan,1998,Eddie Murphy,"Jun 19, 1998",90000000,120620254,303500000.0
